	0	0.000000	0	0.000000
	0	0.000000	0	0.000000
	0	0.000000	0	0.000000
	0	0.000000	0	0.000000
	0	0.000000	0	0.000000
	0	0.000000	0	0.000000
	0	0.000000	0	0.000000
	a	a	1	100.000000
	asd	asd	333	333.000000
	b	b	2	100.000000
	c	c	3	100.000000
	d	d	4	100.000000
	e	e	5	100.000000
	f	f	6	100.000000
	gdbhgdfx	fsdvdgbh	2513	6543203.000000
	g	g	7	1.000000
	h	h	11	3.000000
	heruoyu	hismom	111	666.000000
	luqingsheng	hisfather	250	250.000000
	niqianyu	hisbalabala	123	123.000000
	afssd	fsdgsd	5635	654.000000
	sdffsdv	fgfdg	65341	6354635.000000
	w	w	9	2.000000
	zhenghao	himself	666	666.000000
	0	0.000000	0	0.000000
