TheLittlePrince SaintExupery 97818532 20 
KiteRunner Hosseini 97815946 40 
Flipped Draanen 97803758 20 
PrideAndPrejudice Jane Austen 00073507 30 
OliverTwist Dickens 97875477 17.8 
GoneWithTheWind Mitchell 97875015 65 
ATaleOfTwoCities Dickens 97875447 48 
AnimalFarm GeorgeOrwell 78756777 29 
PereGoriot Balzac 97804515 18 
ASummeNightsDream Shakespeare 97875159 19 
TheRedAndTheBlack Stendhal 97875463 17 
UncleTom'sCabin Stowe 97875463 19 
WutheringHeights Bronte 97878021 21 
JaneEyre CharlotteBronte 97875015 18 
