abook	xiaoming	10000001	15.000000
bbook	xiaoming	10000002	16.000000
cbook	xiaoming	10000003	17.000000
dbook	xiaozhang	10000004	18.000000
ebook	xiaoming	10000005	19.000000
fbook	xiaohua		10000006	20.000000
gbook	xiaoming	10000007	21.000000
hbook	xiaohua		10000008	22.000000
ibook	xiaoming	10000009	23.000000
jbook	xiaohua		10000010	24.000000
kbook	xiaozhang	10000011	25.000000
lbook	erha		10000012	26.000000
mbook	zhangsan	10000013	27.000000
nbook	xiaoming	10000014	28.000000
obook	erha		10000015	29.000000
