ADreaminRedMansions caoxueqin 12341001 25.00
AnalectsofConfucius laozi 12341002 23.50
ASurroundedCity qianzhongshu 12341003 18.60
CompendiumofMateriaMedica lishizhen 12341004 28.60
essaysandcriticism fohgrg 12341005 24.70
HistoricalRecords aaaaa 12341006 24.29
HistoryasaMirror bbbbb 12341007 34.80
StrangeTalesofaLonelyStudio aaaaa 12341008 25.70
TheRomanceofWestChamber ccccc 12341009 28.79
TheTrueStoryofAhQ ddddd 12341010 43.00
thebookofodes eeeee 12341011 34.78
Thewestchamber fffff 12341012 24.68
theClassicofMountainsandRivers fffff 12341013 35.78
thelegendofdeification ggggg 12341014 34.90
TheRomanceofWestChamber hhhhh 12341015 34.49  

