 Svdbv    Ejdh     33462049   89.000450
 Ffbjhf   Efhcdjk  45832465   46.09
 Fjsfewe  Mfdjs    37462810   74.000
 Gdfseh   Adbd     34048482   86.08
 Wdfb     Qfh      48943476   13.00
 Fbdvs    Ddbkhrc  40274626   47.00
 Bdhf     Hjsli    36493213   99.100
 Bhewhf   Fmwln    28741984   56.00
 Tdef     Hdf      65982973   28.289
 Hfdlka   Bjdndsm  35283938   65.0000
 Ysf      Bdsked   37593274   33.000000
 Vhre     Mdfj     46574329   98.000000
 Ddf      Qfh      46592839   33.000000
 Jgrjdmn  Dfejf    56382098   30.000000
 Sshe     Mfdis    65938732   78.10


