	pickwick-Papers 	    Charles-cickles		11111111	9.990000
	mister			    Molière			22222222	9.980000
	hypocrite		    Molière			22226666	9.880000
	othello			    Shakespeare			33333333	9.970000
	les-misérables		    Victor-hugo 		44444444	9.960000
	madame-bovary		    Gustave-flaubert 		55555555	9.950000
	resurrection		    Leo-tolstoy 		66666666	9.940000
	anna-karenina		    Leo-tolstoy 		66668888	9.900000
	divine-comedy		    Dante-alighieri		77777777	9.930000
	the-decameron		    Giovanni-boccaccio		99999999	9.910000
	gullive's-travels	    Jonathan-swift 		65665655	9.770000
	
	
