congqianman                   muxin               	11111111	20.000000
ruguoyoulaisheng              sanmao              	12121212	33.000000
baimgyuhongmg                 sanmao              	13131313	89.000000
zhixiangshu                   shuting             	14141414	34.000000
yuxiang                       daiwangshu          	15151515	54.000000
zaibiekanqiao                 xuzhimo             	16161616	98.000000
ourang                        xuzhimo             	17171717	77.000000
xiwang                        hushi               	18181818	56.000000
wenus                         guomoruo            	19191919	33.000000
duanzhang                     bianzhilin          	20202020	65.000000
wowen                         zongbaihua          	21212121	38.000000
qingchenzhilian               zhangailin          	22222222	49.000000
sahaladegushi                 sanmao              	23232323	48.000000
fanxinchunshui                bingxin             	24242424	39.000000
nishirenjiandesiyuetian       linhuiyin           	25252525	32.000000
