The-Tale-of-Two-Cities Dickens 11070900 10.000
Jane-Eyre Bronte 11070901 12.00
Oliver-Twist Alighieri 11070902 14.0000
The-Divine-Comedy Dickens 11070903 16.0000
Wuthering-Hights Emily 11070904 18.0000
Little-princess unclear 11070905 20.000
Beauty Sun 11070906 22.000
To-Our-Life Lily 11070907 24.000
White-Fang Bunyan 11070908 26.000
The-Decameron Boccaccio 11070909 28.0000
Holy Summer 11070910 30.0000
Hey-Alian Judy 11070911 32.0000
Harry-Potter Unclear 11070912 34.0000
Dog Lory 11070913 36.000
Cat Ducky 11070914 38.000
