		a-beautiful-girl			nobody			11111111			99.990000
		c-yuyan-is-good			gu-xiaobao			12345678			9.900000
		dog-papa-de			nobody			22222222			99.990000
		e-e-e			luo-bin-wang			66889911			44.320000
		forday-fornight-forever			nobody			33333333			99.990000
		girl-is-boy			wang-ge			23232323			999.990000
		han-han-is-best			wang-yu-han			66699966			9999.000000
		if-i-had-not-seen-the-sun			wang-yh			34567894			234.000000
		joker-is-a-good-boy			la-la-la			34231256			44.560000
		king-named-wyh			wang-yu-han			99966699			999999.000000
		love-a-girl			nobody			44444444			99.990000
		may-i-ok			www-peter			56784321			88.880000
		peng-zhang			w-t-peter			34521377			90.650000
		ting-ting-yl			nobody			55555555			99.990000
		yu-a-youq			y-y-y-hhh			67895476			66.990000
