Hamlet Shakespeare 00000001 10.000000
aaaaaa Aaaaaaaaaaa 00000002 11.000000
bbbbbb Bbbbbbbbbbb 00000003 12.000000
cccccc Ccccccc 00000004 13.000000
dddddd Ddddddd 00000005 14.000000
eeeeee Eeeeeee 00000006 15.000000
fffff Fffffff 00000007 16.000000
gggg Ggggggg 00000008 17.000000
hhhhh Hhhhhh 00000009 18.000000
iiiiii Iiiiiii 00000010 19.000000
jjjjjj Jjjjjjj 00000011 20.000000
kkkkkk Kkkkkkk 00000012 21.000000
lllllll Llllll 00000013 22.000000
mmmmmmm Mmmmmm 00000014 23.000000
nnnnnnn Mmmmmm 00000015 24.000000
