title,author,ISBN,price			0.000000
Anvanced-Mathematics,Tongji-University,97870403,39.80	.80		0.000000
C-Primer-Plus,Stephen-prata,97871151,60.00			0.000000
Go-Through-the-sea-and-Embrace-you,YuanBrother,97875404,38.00	75404,38.00		0.000000
Grief-grocery-store,Keigo-Higashino,97875442,39.50			0.000000
I'm-sorry-I-was-the-first-time-to-be-an-adult,YuanBrother,97875057,39.80	Brother,97875057,39.80	80	0.000000
May-My-World-Always-have-you-1/2,YuanBrother,97875447,32.80	447,32.80		0.000000
Speak-in-vain,Yansong-Bai,97875354,39,80			0.000000
The-C-Programming-Lauguage,	Brian&Dennis,97871111,30.00	1,30.00	0.000000
The-C-Program,Genlin-Ji,97870304,49.00			0.000000
The-Kite-Runner,Khaled-Hosseini,97872080,29.00			0.000000
The-other-one-in-the-world,YuanBrother,97875057,39.80	.80		0.000000
The-UNIX-Programming-Environment,Brain&Rob,01393768,649.00	8,649.00		0.000000
University-sports，Xuerong-Zhou,97878110,39.80			0.000000
Visitors-to-China,Xiaosheng-Liang,97875039,29.80			0.000000
We-are-all-as-young-wandering,YuanBrother,97875407,36.80	,36.80		0.000000
